month	total_rainfall	maximum_rainfall_in_a_day	no_of_rainy_days	mean_temp	max_temperature	temp_extremes_min
2014-04	110	28.8	17	28.2	34.5	22.8
2014-05	125.8	22.2	18	28.6	33.8	23
2014-06	71.4	18.8	11	29	33.6	23
2014-07	148.6	29	15	28.7	33.2	21.1
2014-08	241	44.2	20	27.7	31.9	22
2014-09	83.6	34.6	9	28.5	33.2	22.4
2014-10	120	32.8	10	28.4	34.1	24
2014-11	250.8	64.4	23	27.5	33.4	22.2
2014-12	245.6	48.2	17	27	33.6	22.4
2015-01	79.6	33.6	6	26.9	32.4	23.3
2015-02	18.8	10.8	6	27	33.6	23.1
2015-03	84.4	46	5	28.2	34.4	23.4
2015-04	73.2	18.8	13	28.6	34.4	24
2015-05	89	22.2	12	28.7	34.2	24
2015-06	95.8	28.4	10	29	34.3	24.2
2015-07	116.8	45.8	13	29.1	32.7	22.1
2015-08	185.8	63.2	11	28.4	33.1	22.6
2015-09	61.6	18.4	8	28.7	33.2	23.1
2015-10	87.2	28.6	9	28.7	33.6	21.9
2015-11	72.6	25.8	13	28	33.6	23.7
2015-12	302.3	40.4	19	27.7	33.1	22.5
2016-01	126.6	39.6	15	28.3	32.8	22.9
2016-02	186	71.8	10	27.8	32.7	23.3
2016-03	6.2	2.4	6	29	34.1	25.4
2016-04	89.8	18.2	14	29.4	35	25.3
2016-05	193.8	54.8	12	29.3	34.6	23.9
2016-06	162.8	67.8	13	28.5	33.4	22.5
2016-07	168.6	59.4	20	28.4	33.4	22.5
2016-08	139.2	30.6	15	28.9	33.8	22.1
2016-09	118.9	34	15	28.3	34.4	22.6
2016-10	181	75.4	16	28.3	34.6	21.6
2016-11	290.2	65.6	20	27.4	32.6	22.7
2016-12	292.6	73	23	27.4	33.6	23
2017-01	197.6	60.6	21	26.9	33.7	21.8
2017-02	158.4	31	15	26.9	32.4	22.6
2017-03	136.2	30.2	11	27.4	33.3	22.9
2017-04	208.6	42.8	21	27.8	34.4	22.8
2017-05	190	44.8	15	28.5	32.8	23.6
2017-06	106	29.6	10	28.5	33	22.2
